sector,ema_window,threshold,trades,win_rate,avg_profit,median_profit
Foundry & Manufacturing,5,0.005,524,0.5152671755725191,0.008597823862863929,0.002940991197240117
Foundry & Manufacturing,5,0.01,693,0.5194805194805194,0.007716799197863549,0.004079629614598179
Foundry & Manufacturing,5,0.02,523,0.5334608030592735,0.01097759792685271,0.011107274540279155
Foundry & Manufacturing,10,0.0,3,0.3333333333333333,0.14202666343556766,-0.0329087491619916
Foundry & Manufacturing,10,0.0025,197,0.5076142131979695,0.0066742425385931,0.0018774639028005247
Foundry & Manufacturing,10,0.005,344,0.5116279069767442,0.002011701953387058,0.0034579940276758814
Foundry & Manufacturing,10,0.01,502,0.5258964143426295,0.005598035966858164,0.005913195338948518
Foundry & Manufacturing,10,0.02,540,0.5092592592592593,0.004568110962686097,0.0022700928100245488
Foundry & Manufacturing,20,0.0,3,0.3333333333333333,0.14202666343556766,-0.0329087491619916
Foundry & Manufacturing,20,0.0025,141,0.5957446808510638,0.01783727597702894,0.01682198592510953
Foundry & Manufacturing,20,0.005,227,0.5418502202643172,0.008650435990539348,0.011349386049596566
Foundry & Manufacturing,20,0.01,355,0.5098591549295775,0.0035332830328401016,0.0028343367333578673
Foundry & Manufacturing,20,0.02,441,0.5079365079365079,0.00491927519352443,0.0018774639028005247
Foundry & Manufacturing,60,0.0,3,0.3333333333333333,0.14202666343556766,-0.0329087491619916
Foundry & Manufacturing,60,0.0025,77,0.5064935064935064,0.008399928616525101,0.0028845026721651124
Foundry & Manufacturing,60,0.005,130,0.5692307692307692,0.013955009367048533,0.0196872251390956
Foundry & Manufacturing,60,0.01,221,0.5882352941176471,0.01947217492072733,0.020624497961907018
Foundry & Manufacturing,60,0.02,270,0.5703703703703704,0.0201000850062194,0.01678326813899711
Foundry & Manufacturing,120,0.0,3,0.3333333333333333,0.14202666343556766,-0.0329087491619916
Foundry & Manufacturing,120,0.0025,64,0.578125,0.028622429956448165,0.016854575884985956
Foundry & Manufacturing,120,0.005,114,0.5964912280701754,0.024815353841328186,0.027469952011725418
Foundry & Manufacturing,120,0.01,158,0.5822784810126582,0.024136107011806865,0.018126543579594756
Foundry & Manufacturing,120,0.02,214,0.5280373831775701,0.010428881931513518,0.009911962266277552
Foundry & Manufacturing,240,0.0,3,0.3333333333333333,0.14202666343556766,-0.0329087491619916
Foundry & Manufacturing,240,0.0025,47,0.5531914893617021,0.017480581758311787,0.0486960597975592
Foundry & Manufacturing,240,0.005,85,0.5294117647058824,0.008364301363264246,0.015789458824326585
Foundry & Manufacturing,240,0.01,129,0.5581395348837209,0.008487572162301314,0.01616385522853503
Foundry & Manufacturing,240,0.02,162,0.5493827160493827,0.0080764089699483,0.012963178130863895
Analog & Power Semis,5,0.0,4,0.75,0.03587373160503396,0.04287121212535594
Analog & Power Semis,5,0.0025,494,0.5263157894736842,0.010531589160522402,0.005726479031308074
Analog & Power Semis,5,0.005,798,0.5213032581453634,0.008041046110590892,0.003945587659277994
Analog & Power Semis,5,0.01,959,0.5255474452554745,0.010752183914929405,0.004565395046808085
Analog & Power Semis,5,0.02,675,0.5318518518518518,0.019652327199014375,0.008139130635121061
Analog & Power Semis,10,0.0,4,0.75,0.03587373160503396,0.04287121212535594
Analog & Power Semis,10,0.0025,354,0.5112994350282486,0.011384313074806455,0.001320477658736774
Analog & Power Semis,10,0.005,556,0.5071942446043165,0.010517170883899956,0.0008669969423783508
Analog & Power Semis,10,0.01,760,0.5197368421052632,0.009383076653437794,0.004275029968677679
Analog & Power Semis,10,0.02,726,0.5275482093663911,0.014765538097850067,0.0051702596216021135
Analog & Power Semis,20,0.0,4,0.75,0.03587373160503396,0.04287121212535594
Analog & Power Semis,20,0.0025,218,0.46788990825688076,0.0034770887499350053,-0.004806231298671693
Analog & Power Semis,20,0.005,381,0.4881889763779528,0.006384782194607411,-0.0021177521083216577
Analog & Power Semis,20,0.01,551,0.5099818511796733,0.0074106517869441295,0.002466372473368894
Analog & Power Semis,20,0.02,620,0.49838709677419357,0.006533594131695462,-0.0005090034625774287
Analog & Power Semis,60,0.0,4,0.75,0.03587373160503396,0.04287121212535594
Analog & Power Semis,60,0.0025,137,0.5693430656934306,0.0069972091418150275,0.01132768104275561
Analog & Power Semis,60,0.005,237,0.5822784810126582,0.00951103726506728,0.011532622302848683
Analog & Power Semis,60,0.01,364,0.5412087912087912,0.010926823886704472,0.006714525093165058
